Final URL,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Description 3,cluster,Group,Ad group,Is top row,Clicks,Impr.,CTR,Avg. CPC,Cost
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,9 Health Benefits,That Happen,When You Quit Smoking!,"If You Have Been Thinking About Quitting Smoking,",Now Is A Good Time ... Read!, --,2,Original Ad,Ad group 1 (1970007),1,16,150,0.11,1.4,22.43
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Quit Smoking Now,Unlock,Your Health Benefits!,Enhance your health by quitting smoking today!,Discover the 9 remarkable health improvements you could experience. Why wait?,Start your journey towards a healthier life now. Learn more!,2,Ad (optimized for high CTR using GPT),Ad group 1 (1970007),0,21,206,0.10,2.5,52.52
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,"Quit Smoking Today,",Gain Health Benefits,Instantly!,Ever thought about quitting smoking?,Act now and reap the health benefits!,Discover the immediate positive changes that your body will experience. Read now!,2,Regenerated Ad (with specific feature additions),Ad group 1 (1970007),0,17,170,0.10,1.94,32.9
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Benefits Stopping Smoking!,Science-Backed,Health Benefits,What Happens With Your Body After You Quit Smoking?,Read Now., --,2,Original Ad,Ad group 10 (76828428145124),1,15,184,0.08,1.48,22.18
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Stop Smoking Now!,Unleash Your Health Potential!,Health Potential!,Unlock the science-backed health benefits of quitting smoking.,Discover what happens to your body when you quit.,Your health transformation begins here.,2,Regenerated Ad (with specific feature additions),Ad group 10 (76828428145124),0,15,218,0.07,2.17,32.55
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Quit Smoking Today,Unlock Remarkable,Health Benefits!,Discover the science-backed benefits of quitting smoking.,Unveil what truly happens to your body after you quit.,Start your smoke-free journey now!,2,Ad (optimized for high CTR using GPT),Ad group 10 (76828428145124),0,10,160,0.06,1.44,14.41
https://www.nicorette.com/path-to-zero/start/lifestyle-considerations/quitting-smoking-side-effects,Ready to Stop Smoking?,Discover Innovative,Quit Smoking Solutions,Every smoker's journey is different.,Explore how our prescription treatment could be your key to a smoke-free life.,Start your quit journey today.,2,Regenerated Ad (with specific feature additions),Ad group 11 (79714643995032),1,41,677,0.06,1.48,60.77
https://www.nicorette.com/path-to-zero/start/lifestyle-considerations/quitting-smoking-side-effects,Considering Quitting Smoking?,Quit Smoking,Treatment Option.,Every Smoker Has Unique Challenges.,See How This Rx Treatment May Help You Quit., --,2,Original Ad,Ad group 11 (79714643995032),0,9,149,0.06,2.4,21.61
https://www.nicorette.com/path-to-zero/start/lifestyle-considerations/quitting-smoking-side-effects,Ready to Stop Smoking?,Explore Our Unique,Treatment Option,Every smoker's journey is unique.,Uncover how our specialized Rx treatment could be the solution to your quitting struggles.,"No community pressure, just your own personalized path to quitting.",2,Ad (optimized for high CTR using GPT),Ad group 11 (79714643995032),0,7,122,0.06,1.24,8.69
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Revitalize Your Health in 2020,Quit Smoking,Effortlessly,Unlock a healthier lifestyle today.,Stop smoking with ease and witness instant improvements in your health.,Begin your journey to wellness now,2,Ad (optimized for high CTR using GPT),Ad group 12 (73117651774269),1,2,37,0.05,0.99,1.97
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Easy Way to Quit Smoking,Improve Health,Immediately,Seeking a healthy life? Try our easy method to quit smoking.,See immediate health improvements.,Embrace the joy of a smoke-free life and take control of your health journey today,2,Regenerated Ad (with specific feature additions),Ad group 12 (73117651774269),0,52,"1,019",0.05,1.1,57.13
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Discover a new way to,better health,in 2025,Quit smoking the easy way and see your health,improve immediately., --,2,Original Ad,Ad group 12 (73117651774269),0,6,122,0.05,1.64,9.86
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Effects Of Quitting Smoking,Relevant Info,Here,Find Related Info On Effects Of Quitting Smoking.,Visit Now To Know More., --,2,Original Ad,Ad group 13 (72980140292413),1,6,133,0.05,1.19,7.15
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Discover the Benefits of,Quitting Smoking,Today,Explore comprehensive insights on the positive impacts of quitting smoking.,Improve your health and lifestyle.,Click now for more information.,2,Ad (optimized for high CTR using GPT),Ad group 13 (72980140292413),0,7,165,0.04,1.67,11.7
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Unleash Healthier Life,Discover Quitting Smoking,Benefits Now,"Unlock a healthier you, motivate your journey to quit smoking today.",Uncover the transformative effects and start experiencing the benefits.,"No more delays, start now.",2,Regenerated Ad (with specific feature additions),Ad group 13 (72980140292413),0,5,120,0.04,2.16,10.81
https://www.amazon.com/Aroamas-Nicotine-Patches-Help-Smoking/dp/B09C3ZFMGQ,Explore,Top Deals On,Quit Smoking Patches,Click Here To Get Top Offers On Quit Smoking Patches,Today., --,2,Original Ad,Ad group 19 (72911420057958),1,3,110,0.03,1.51,4.54
https://www.amazon.com/Aroamas-Nicotine-Patches-Help-Smoking/dp/B09C3ZFMGQ,Quit Smoking Today,Get Exclusive Deals,on Patches,Ready to kick the habit? Discover unbeatable offers on Quit Smoking Patches.,Start your journey towards a healthier life now.,"Act fast, deals won't last!",2,Regenerated Ad (with specific feature additions),Ad group 19 (72911420057958),0,4,148,0.03,1.25,5
https://www.amazon.com/Aroamas-Nicotine-Patches-Help-Smoking/dp/B09C3ZFMGQ,Quit Smoking Today,Find Top Deals,on Patches!,Discover unbeatable deals on high-quality quit smoking patches.,"Click now to start your journey towards a healthier, smoke-free life. Act today!", --,2,Ad (optimized for high CTR using GPT),Ad group 19 (72911420057958),0,13,489,0.03,1.36,17.66
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Discover the Benefits,of Quitting Smoking,Today!,Craving a healthier life?,Explore more about the positive changes quitting smoking can bring.,"Find out how your body recovers and transforms, step by step!",2,Regenerated Ad (with specific feature additions),Ad group 2 (72980140292414),1,4,161,0.02,1.54,6.15
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,All You Need To Know,About Effects Of,Quitting Smoking,Looking For More Information About Effects Of Quitting Smoking?,Check Now!, --,2,Original Ad,Ad group 2 (72980140292414),0,10,405,0.02,2,20.04
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Discover Life After Smoking:,Benefits & Impact,(Quit Now),Interested in the health effects after quitting smoking?,Explore our comprehensive guide to understand the benefits and changes.,Start your smoke-free journey today!,2,Ad (optimized for high CTR using GPT),Ad group 2 (72980140292414),0,6,261,0.02,1.46,8.73
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Anti-Smoking,ZeroSmokes,Magnets,The best way to quit smoking you haven't thought of, - buy one and get one free., --,2,Original Ad,Ad group 8 (72774054220971),1,1,64,0.02,1.75,1.75
https://www.betterhealth.vic.gov.au/health/healthyliving/What-to-expect-when-you-quit-smoking,Quit Smoking,Effortlessly,with ZeroSmokes Magnets!,Discover a healthier you!,Break free from the chains of smoking with our ZeroSmokes Magnets.,"Buy one, get one free - Start your journey to a smoke-free life now!",2,Ad (optimized for high CTR using GPT),Ad group 8 (72774054220971),0,2,152,0.01,1.63,3.26
